actors0,actors1,actors2,year,id,type,genres2,genres3,directors1,genres4,genres5,genres6,genres7,genres8,genres9,directors2
Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,2004,tt0338751,add,,,,,,,,,,
Christopher Plummer,Lily Cole,Heath Ledger,2009,tt1054606,add,Mystery,,,,,,,,,
Adam Sandler,Burt Reynolds,Chris Rock,2005,tt0398165,add,Sport,,,,,,,,,
Dennis Quaid,Ben Foster,Cam Gigandet,2009,tt1188729,add,Sci-Fi,Thriller,,,,,,,,
Keanu Reeves,Rachel Weisz,Djimon Hounsou,2005,tt0360486,add,,,,,,,,,,
John Cusack,Thandie Newton,Chiwetel Ejiofor,2009,tt1190080,add,Sci-Fi,,,,,,,,,
Will Smith,Rosario Dawson,Woody Harrelson,2008,tt0814314,add,,,,,,,,,,
Michael Nyqvist,Noomi Rapace,Ewa Fröling,2009,tt1132620,add,Thriller,,,,,,,,,
Ryan Reynolds,Rachel Weisz,Abigail Breslin,2008,tt0832266,add,Romance,,,,,,,,,
Felicity Jones,Anton Yelchin,Jennifer Lawrence,2011,tt1758692,add,,,,,,,,,,
Kurt Russell,Zoe Bell,Rosario Dawson,2007,tt1028528,add,,,,,,,,,,
Matt Damon,Franka Potente,Joan Allen,2004,tt0372183,add,Thriller,,,,,,,,,
Chris Rock,Ben Stiller,David Schwimmer,2005,tt0351283,add,Comedy,Family,Tom McGrath,,,,,,,
Quvenzhané Wallis,Dwight Henry,Levy Easterly,2012,tt2125435,add,,,,,,,,,,
Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,2006,tt0479143,add,,,,,,,,,,
Tyler Perry,Matthew Fox,Rachel Nichols,2012,tt1712170,add,Mystery,Thriller,,,,,,,,
Johnny Depp,Kate Mara,Rebecca Hall,2014,tt2209764,add,Sci-Fi,Thriller,,,,,,,,
Colin Farrell,Q'orianka Kilcher,Christopher Plummer,2005,tt0402399,add,History,Romance,,,,,,,,
Tom Cruise,Ken Watanabe,Billy Connolly,2003,tt0325710,add,History,War,,,,,,,,
Anthony Hopkins,John Hurt,Anne Bancroft,1980,tt0080678,add,,,,,,,,,,
Chris Pine,Elizabeth Banks,Michelle Pfeiffer,2012,tt1716777,add,,,,,,,,,,
